Titulo,Financiador,Alcance,Descripcion,FechaDeApertura,FechaDeCierre,DuracionEnMeses,Beneficios,Requisitos,MontoMinimo,MontoMaximo,Estado,TipoDeBeneficio,TipoDePerfil,EnlaceDelDetalle,EnlaceDeLaFoto
Programa de Apoyo a las Orquestas Profesionales Doctas,"Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,"Esta convocatoria tiene por objetivo el financiamiento parcial a proyectos con el fin de apoyar el desarrollo de orquestas profesionales doctas, su funcionamiento, gestión de temporadas oficiales y de extensión, que releve la intención de fomentar y difundir obras nacionales, idealmente desde 1950 en adelante y estrenos, con el fin de crear un círculo virtuoso para la cadena de valor de la música nacional, en el entendido que se trata de faros irradiadores del movimiento artístico musical y cultural en su ámbito de acción y motores de una formación profesional de excelencia para jóvenes músicos.",nan,nan,nan,Capacitación,Tener RUT chileno,Entre $125.000.000 y $145.000.000,Entre $125.000.000 y $145.000.000,En evaluación,Capacitación,Persona Jurídica,https://www.fondos.gob.cl/ficha/mincap/fondomusicaorq/,https://www.fondos.gob.cl/ficha/mincap/fondomusicaorq/
"FONDO CONCURSABLE PARA LAS RESIDENCIAS FAMILIARES DE NIÑOS, NIÑAS, ADOLESCENTES DEL GOBIERNO REGIONAL DE ATACAMA",Gobierno Regional de Atacama,Regional,"Este Fondo, a través de sus Bases Generales y especiales, regula el proceso de concursabilidad y de asignación de recursos para subvencionar las actividades mencionadas en la Glosa 07 de la Ley N°21.722 del Sector Público del año 2025, para que postulen instituciones u organizaciones funcionales privadas sin fines de lucro que administuren Residencias Familiares para Niños, Niñas y Adolescentes que estén reconocidas como colaboradores acreditados por el ""Servicio Nacional de Protección Especializada a la Niñez y Adolescencia"", con la finalidad de entregar subsidios para el funcionamiento de estos establecimientos.",nan,nan,0,Subsidios para el funcionamiento de Residencias Familiares,"Postulación a través de Bases Generales y especiales, reconocimiento por el ""Servicio Nacional de Protección Especializada a la Niñez y Adolescencia""",0,0,En evaluación,Subsidios,Instituciones privadas sin fines de lucro,https://www.fondos.gob.cl/ficha/goreatacama/fndr-2025-residencia-familiar/,https://www.fondos.gob.cl/ficha/goreatacama/fndr-2025-residencia-familiar/
PAMMA INICIA PRODUCTIVO 2025,Ministerio de Minería,Nacional,Entidad: Ministerio de Minería,nan,nan,0,Capacitación,Tener RUT chileno,0,0,En evaluación,Capacitación,Personas Naturales y Jurídicas,https://www.fondos.gob.cl/ficha/minmineria/pamma-inicia-prod-2025/,nan
FONDART REGIONAL 2026: Difusión/ Culturas de los Pueblos Originarios/ Actividades Formativas/ Creación Artística,"Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,"El Fondo Nacional de Desarrollo Cultural y las Artes, FONDART, fue creado el año 1992 con la aprobación de la ley Nº 19.891. Su objetivo es apoyar el desarrollo de las artes, la difusión de la cultura y la conservación del patrimonio cultural de Chile. Comprende a las siguientes disciplinas: artes de la visualidad (artes visuales, fotografía y nuevos medios), artesanía, diseño y arquitectura.",nan,nan,0,Capacitación,Tener RUT chileno,0,0,En evaluación,Otros incentivos,Personas Naturales y Jurídicas,https://www.fondos.gob.cl/ficha/mincap/fondartregional/,https://www.fondos.gob.cl/ficha/mincap/fondartregional/
Fondart Nacional 2026,"Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,"El Fondo Nacional de Desarrollo Cultural y las Artes, FONDART, fue creado el año 1992 con la aprobación de la ley Nº 19.891. Su objetivo es apoyar el desarrollo de las artes, la difusión de la cultura y la conservación del patrimonio cultural de Chile. Comprende a las siguientes disciplinas: artes de la visualidad (artes visuales, fotografía y nuevos medios), artesanía, diseño y arquitectura.",nan,nan,0,Investigación/Infraestructura y acceso cultural universal,Tener RUT chileno,750000,750000,En evaluación,Otros incentivos,Personas Naturales y Jurídicas,https://www.fondos.gob.cl/ficha/mincap/fondartnacional/,https://www.fondos.gob.cl/ficha/mincap/fondartnacional/
"CONVOCATORIA SUBSIDIOS PARA FUNCIONAMIENTO DE ELEAM Y RESIDENCIAS FAMILIARES NNAJ DEL SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCIA, TEATROS MUNICIPALES Y/O MONUMENTOS HISTÓRICOS CON ATENCIÓN A PÚBLICO - 2° LLAMADO",Gobierno Regional de Antofagasta,Nacional,"La presente convocatoria está referida a la entrega de Subsidios para el funcionamiento de: Establecimientos de larga estadía para adultos mayores; Residencias familiares para niños, niñas, adolescentes y/o jóvenes del Servicio Nacional de Protección Especializada a la Niñez y Adolescencia; Teatros municipales y/o monumentos históricos con atención a público que operen en la región.",2025-08-18,2025-08-27,2025,Participación Ciudadana,Tener RUT chileno,0,0,En evaluación,Participación Ciudadana,Persona Jurídica,https://www.fondos.gob.cl/ficha/goreantofagasta/subsidioeleam/,https://www.fondos.gob.cl/ficha/goreantofagasta/subsidioeleam/foto
Fondart Regional 2026: Culturas Regionales,"Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,"El Fondo Nacional de Desarrollo Cultural y las Artes, FONDART, fue creado el año 1992 con la aprobación de la ley Nº 19.891. Su objetivo es apoyar el desarrollo de las artes, la difusión de la cultura y la conservación del patrimonio cultural de Chile. Comprende a las siguientes disciplinas: artes de la visualidad (artes visuales, fotografía y nuevos medios), artesanía, diseño y arquitectura.",nan,nan,0,Capacitación,Tener RUT chileno,0,0,En evaluación,Otros incentivos,Personas Naturales y Jurídicas,https://www.fondos.gob.cl/ficha/mincap/fondartregional-culturas/,https://www.fondos.gob.cl/ficha/mincap/fondartregional-culturas/
PAMMA Asistencia Técnica 2025,Ministerio de Minería,Regional,"Este instrumento entregará asistencia técnica a las y los productores de la pequeña minería de las regiones de Antofagasta, Atacama y Coquimbo. Este servicio será entregado por la Universidad de Atacama, incluyendo dos líneas de trabajo especificas: Regularización ante Sernageomin y Asesoría técnica productiva.",nan,nan,0,Capacitación y Asesoría técnica productiva,"Tener RUT chileno, ser persona natural o jurídica, estar insrito en un programa x",0,0,En evaluación,Formación y capacitación,Personas Naturales y Jurídicas,https://www.fondos.gob.cl/ficha/minmineria/pamma-at-2025/,https://www.fondos.gob.cl/ficha/minmineria/pamma-at-2025/
Convocatoria para exhibiciones e intervenciones artísticas Galería Gabriela Mistral 2026,"Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,"Galería Gabriela Mistral tiene por objeto promover y dar visibilidad a la creación y producción nacional en artes visuales contemporáneas. Es en este contexto, que abre su Convocatoria para Exhibiciones e Intervenciones Artísticas 2026, dirigida a artistas, curadores/as, gestores/as, u otros agentes del arte contemporáneo que buscan ser parte de la programación de este espacio para el año 2026, con proyectos inéditos, individuales o colectivos. Pueden participar personas con nacionalidad chilena, o extranjeros con residencia definitiva en Chile, que cuenten con al menos 5 años de experiencia.",nan,nan,0,Arte y cultura,"Tener RUT chileno, ser persona natural o jurídica, estar insrito en un programa x",15000000,15000000,En evaluación,Arte y cultura,Artista,https://www.fondos.gob.cl/ficha/mincap/galeria-gabriela-mistral/,https://www.fondos.gob.cl/ficha/mincap/galeria-gabriela-mistral/
,,,,,,,,,,,,,,,
